Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2010,2010,2010,2,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,5616185,,,0
S4,2010,2010,2010,2,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,52217,,,0
S4,2010,2010,2010,2,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,1095849,,,0
S4,2010,2010,2010,2,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,134899,,,0
S4,2010,2010,2010,2,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,23190455,,,0
S4,2010,2010,2010,2,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,1085884487,,,0
S4,2010,2010,2010,2,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,1355346311,,,0
S4,2010,2010,2010,2,0,2,Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,530374,,,0
S4,2010,2010,2010,2,0,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,35942910,,,0
S4,2010,2010,2010,2,0,2,Export,50,Bangladesh,BGD,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,640987,,,0
S4,2010,2010,2010,2,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,242040,,,0
S4,2010,2010,2010,2,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,4649506095,,,0
S4,2010,2010,2010,2,0,2,Export,64,Bhutan,BTN,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,1749,,,0
S4,2010,2010,2010,2,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,0,,,,0,,705034,,,0
S4,2010,2010,2010,2,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,3484291,,,0
S4,2010,2010,2010,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,345574788,,,0
S4,2010,2010,2010,2,0,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,2620910,,,0
S4,2010,2010,2010,2,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,115551028,,,0
S4,2010,2010,2010,2,0,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,26554800,,,0
S4,2010,2010,2010,2,0,2,Export,116,Cambodia,KHM,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,249967,,,0
S4,2010,2010,2010,2,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,2958430125,,,0
S4,2010,2010,2010,2,0,2,Export,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,800458,,,0
S4,2010,2010,2010,2,0,2,Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,336048,,,0
S4,2010,2010,2010,2,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,92982371,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,196251114797,,,0
S4,2010,2010,2010,2,0,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,10274833,,,0
S4,2010,2010,2010,2,0,2,Export,188,Costa Rica,CRI,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,814657319,,,0
S4,2010,2010,2010,2,0,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,49039289,,,0
S4,2010,2010,2010,2,0,2,Export,196,Cyprus,CYP,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,8954655,,,0
S4,2010,2010,2010,2,0,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,10900074446,,,0
S4,2010,2010,2010,2,0,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,1563084843,,,0
S4,2010,2010,2010,2,0,2,Export,212,Dominica,DMA,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,25569,,,0
S4,2010,2010,2010,2,0,2,Export,214,Dominican Rep.,DOM,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,742359,,,0
S4,2010,2010,2010,2,0,2,Export,218,Ecuador,ECU,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,5914150,,,0
S4,2010,2010,2010,2,0,2,Export,222,El Salvador,SLV,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,0,,,,0,,7252641,,,0
S4,2010,2010,2010,2,0,2,Export,231,Ethiopia,ETH,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,0,,,,0,,1527683,,,0
S4,2010,2010,2010,2,0,2,Export,233,Estonia,EST,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,59880010,,,0
S4,2010,2010,2010,2,0,2,Export,242,Fiji,FJI,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,906925,,,0
S4,2010,2010,2010,2,0,2,Export,246,Finland,FIN,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,468203562,,,0
S4,2010,2010,2010,2,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,5726847859,,,0
S4,2010,2010,2010,2,0,2,Export,258,French Polynesia,PYF,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,431387,,,0
S4,2010,2010,2010,2,0,2,Export,268,Georgia,GEO,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,1745208,,,0
S4,2010,2010,2010,2,0,2,Export,275,State of Palestine,PSE,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,3061778,,,0
S4,2010,2010,2010,2,0,2,Export,276,Germany,DEU,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,0,,,,0,,27472007522,,,4
S4,2010,2010,2010,2,0,2,Export,288,Ghana,GHA,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,0,,,,0,,487977,,,0
S4,2010,2010,2010,2,0,2,Export,300,Greece,GRC,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,90649201,,,0
S4,2010,2010,2010,2,0,2,Export,304,Greenland,GRL,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,0,,,,0,,155114,,,0
S4,2010,2010,2010,2,0,2,Export,320,Guatemala,GTM,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,9296535,,,0
S4,2010,2010,2010,2,0,2,Export,328,Guyana,GUY,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,126100,,,0
S4,2010,2010,2010,2,0,2,Export,340,Honduras,HND,0,World,WLD,,,,,,,,75,Office machines and automatic data-processing machines,1,No Quantity,,,,,,,2505761,,,0
